ID_Genero,Género
1,Ciencia Ficción
2,Romance
3,Acción
4,Ciencia Ficción
5,Ciencia Ficción
6,Acción
7,Crimen
8,Crimen
9,Ciencia Ficción
10,Acción
11,Aventura
12,Animación
13,Drama
14,Acción
15,Drama
16,Drama
17,Fantasía
18,Fantasía
19,Fantasía
20,Ciencia Ficción
21,Ciencia Ficción
22,Ciencia Ficción
23,Thriller
24,Drama
25,Drama
26,Drama
27,Bélica
28,Crimen
29,Drama
30,Aventura
31,Western
32,Acción
33,Thriller
34,Drama
35,Drama
36,Drama
37,Romance
38,Comedia
39,Ciencia Ficción
40,Crimen
41,Drama
42,Drama
43,Acción
44,Ciencia Ficción
45,Bélica
46,Misterio
47,Crimen
48,Drama
49,Drama
50,Drama
51,Western
52,Acción
53,Romance
54,Acción
55,Drama
56,Drama
57,Thriller
58,Drama
59,Bélica
60,Terror
61,Fantasía
62,Ciencia Ficción
63,Thriller
64,Comedia
65,Romance
66,Misterio
67,Misterio
68,Misterio
69,Terror
70,Terror
71,Terror
72,Thriller
73,Ciencia Ficción
74,Ciencia Ficción
75,"Animación, Fantasía"
76,"Acción, Crimen"
77,"Acción, Crimen"