ID_Pelicula,Título,Anio,Puntuación,Sinopsis,ID_Clasificacion,ID_Genero
1,El origen,2010,8.8,Un ladrón especializado en extraer secretos del subconsciente se enfrenta a una misión compleja: implantar una idea en la mente de su objetivo.,1,1
2,Titanic,1997,7.8,Una joven aristócrata y un artista pobre se enamoran a bordo del infame transatlántico Titanic antes de que se estrelle contra un iceberg.,2,2
3,Batman: El caballero de la noche,2008,9,"Batman enfrenta a su mayor adversario, el Joker, quien busca sumergir Gotham City en el caos.",3,3
4,Interestelar,2014,8.6,Un grupo de astronautas viaja a través de un agujero de gusano en busca de un nuevo hogar para la humanidad.,4,4
5,Matrix,1999,8.7,Un hacker descubre que la realidad en la que vive es una simulación creada por máquinas y se une a una resistencia para liberar a la humanidad.,5,5
6,Gladiador,2000,8.5,"Un general romano es traicionado y se convierte en gladiador, buscando venganza contra el emperador que destruyó su vida.",6,6
7,El padrino,1972,9.2,"La historia de la familia Corleone, su ascenso al poder en el crimen organizado y las luchas internas por el control del imperio familiar.",7,7
8,Tiempos violentos,1994,8.9,"Varios relatos interconectados sobre el crimen, la venganza y el destino se desarrollan en Los Ángeles.",8,8
9,Avatar,2009,7.9,"Un ex-marine es enviado a un planeta distante donde se convierte en un avatar para interactuar con los nativos, los Na'vi, mientras una crisis ecológica se desata.",9,9
10,Los Vengadores,2012,8,Los héroes más poderosos de la Tierra deben unirse para detener una invasión alienígena liderada por Loki.,10,10
11,Parque Jurásico,1993,8.2,Un parque temático de dinosaurios se convierte en una pesadilla cuando los animales se liberan y comienzan a atacar a los humanos.,11,11
12,El rey león,1994,8.5,"Un joven león debe asumir su lugar como rey de la sabana africana después de la muerte de su padre, enfrentándose a su malvado tío Scar.",12,12
13,Forrest Gump,1994,8.8,"La vida de un hombre con un bajo coeficiente intelectual está entrelazada con eventos históricos, mientras él sigue su propio camino hacia el éxito.",13,13
14,Spider-Man: Sin camino a casa,2021,8.3,Spider-Man debe enfrentarse a los villanos de otros universos tras un hechizo fallido que amenaza con destruir su realidad.,14,14
15,Guasón,2019,8.4,El origen del villano Joker se relata en esta historia de un hombre desplazado por la sociedad que cae en la locura y se convierte en un símbolo del caos.,15,15
16,Sueño de fuga,1994,9.3,Un hombre condenado a cadena perpetua por un crimen que no cometió encuentra amistad y esperanza mientras planea su fuga de prisión.,16,16
17,El señor de los anillos: La comunidad del anillo,2001,8.8,Un grupo de héroes se embarca en una misión peligrosa para destruir un anillo que tiene el poder de destruir el mundo.,17,17
18,El señor de los anillos: Las dos torres,2002,8.7,La lucha contra las fuerzas de Sauron continúa mientras la Comunidad del Anillo se enfrenta a nuevas amenazas y alianzas.,18,18
19,El señor de los anillos: El retorno del rey,2003,9,El destino de la Tierra Media se decide en una batalla final mientras el anillo se acerca a su destrucción.,19,19
20,La guerra de las galaxias: Una nueva esperanza,1977,8.6,Un joven granjero se une a una rebelión para derrotar al malvado Imperio Galáctico y salvar a la princesa Leia.,20,20
21,La guerra de las galaxias: El imperio contraataca,1980,8.7,Los rebeldes luchan por su supervivencia mientras Darth Vader persigue a Luke Skywalker y sus amigos en una guerra épica.,21,21
22,La guerra de las galaxias: El regreso del Jedi,1983,8.3,Luke Skywalker regresa para enfrentar a Darth Vader y el Emperador Palpatine en una batalla decisiva por el destino de la galaxia.,22,22
23,El silencio de los inocentes,1991,8.6,Un agente del FBI se enfrenta a un asesino en serie mientras busca la ayuda de otro asesino encarcelado para atraparlo.,23,23
24,La lista de Schindler,1993,9,"Basada en hechos reales, la historia de Oskar Schindler, un empresario que salvó a más de mil judíos del Holocausto.",24,24
25,El club de la pelea,1999,8.8,"Un hombre insomne forma un club secreto de lucha, lo que lo lleva a una peligrosa espiral de caos y autodestrucción.",25,25
26,Milagros inesperados,1999,8.6,Un prisionero en el corredor de la muerte forma un vínculo especial con un guardia y cambia la vida de aquellos que lo rodean.,26,26
27,Rescatando al soldado Ryan,1998,8.6,Un grupo de soldados se embarca en una misión para salvar a un paracaidista cuya madre ha perdido a tres hijos en la guerra.,27,27
28,Los infiltrados,2006,8.5,"Un policía encubierto se infiltra en una banda criminal, mientras que un miembro de la banda se infiltra en la policía.",28,28
29,Latigazo,2014,8.5,Un joven baterista lucha por cumplir con las expectativas de un maestro despiadado que lleva a los estudiantes a límites extremos.,29,29
30,The Revenant,2015,8,Un cazador de pieles es abandonado tras ser atacado por un oso y debe sobrevivir en la naturaleza para vengarse de aquellos que lo dejaron atrás.,30,30
31,Django Unchained,2012,8.4,Un esclavo liberado se asocia con un cazador de recompensas para rescatar a su esposa de un terrateniente brutal.,31,31
32,Mad Max: Fury Road,2015,8.1,"En un futuro post-apocalíptico, Max se une a una guerrera para escapar de un tirano en una persecución salvaje por el desierto.",32,32
33,Parasite,2019,8.6,"Una familia pobre se infiltra en la vida de una familia rica, lo que desencadena una serie de eventos inesperados.",33,33
34,A Beautiful Mind,2001,8.2,La historia de un genio matemático que lucha contra la esquizofrenia mientras realiza descubrimientos clave en su campo.,34,34
35,The Prestige,2006,8.5,"Dos magos rivales luchan por superar al otro con trucos cada vez más sorprendentes, hasta que sus obsesiones los llevan a límites peligrosos.",35,35
36,The Wolf of Wall Street,2013,8.2,"Un joven corredor de bolsa asciende en Wall Street, pero sus prácticas corruptas y su estilo de vida decadente lo llevan a su caída.",36,36
37,La La Land,2016,8,Una aspirante a actriz y un pianista de jazz luchan por equilibrar su carrera y su relación romántica en Los Ángeles.,37,37
38,The Grand Budapest Hotel,2014,8.1,Las aventuras del conserje de un hotel de lujo en Europa y su relación con un joven empleado que lo involucra en un robo de arte.,38,38
39,Gravity,2013,7.7,Dos astronautas luchan por sobrevivir en el espacio tras la destrucción de su estación espacial.,39,39
40,No Country for Old Men,2007,8.1,"Un hombre encuentra una gran suma de dinero en el desierto, lo que desencadena una violenta persecución entre él, un asesino y un sheriff.",40,40
41,The Social Network,2010,7.8,"La historia de la creación de Facebook y las controversias legales que rodean a su fundador, Mark Zuckerberg.",41,41
42,The Big Short,2015,7.8,Un grupo de inversores predice la crisis financiera de 2008 y se aprovecha de la caída del mercado hipotecario.,42,42
43,Logan,2017,8.1,El envejecido Logan cuida a un enfermo profesor X mientras protege a una joven mutante de fuerzas oscuras.,43,43
44,Blade Runner 2049,2017,8,"En un futuro distópico, un nuevo Blade Runner busca respuestas a secretos enterrados en su sociedad controlada por inteligencia artificial.",44,44
45,1917,2019,8.2,"Durante la Primera Guerra Mundial, dos soldados británicos deben entregar un mensaje crucial para salvar a 1,600 compañeros de la muerte.",45,45
46,Knives Out,2019,7.9,"Un detective investiga la muerte de un novelista de misterio, descubriendo secretos familiares y un crimen mucho más complejo de lo que parece.",46,46
47,The Irishman,2019,7.9,"Un veterano de la mafia mira hacia atrás a su vida, mientras reflexiona sobre la desaparición del sindicalista Jimmy Hoffa.",47,47
48,Once Upon a Time in Hollywood,2019,7.7,"En 1969, un actor y su doble de cine enfrentan los cambios en Hollywood y la llegada de una tragedia con la secta de Charles Manson.",48,48
49,The Truman Show,1998,8.1,"Un hombre vive toda su vida sin saber que está siendo grabado y transmitido en un programa de televisión, hasta que descubre la verdad.",49,49
50,Catch Me If You Can,2002,8.1,"Un joven estafador escapa de la policía y el FBI mientras se disfraza como piloto, doctor y abogado.",50,50
51,The Hateful Eight,2015,7.8,"Ocho extraños se encuentran atrapados en una cabaña durante una tormenta de nieve, mientras secretos oscuros salen a la luz.",51,51
52,The Bourne Identity,2002,7.9,Un hombre amnésico se embarca en una peligrosa misión mientras intenta descubrir su identidad y los motivos detrás de su persecución.,52,52
53,The Notebook,2004,7.8,Una historia de amor que narra cómo una joven pareja lucha por mantener su relación a pesar de los obstáculos impuestos por sus diferencias sociales.,53,53
54,The Equalizer,2014,7.2,Un hombre con habilidades de combate se convierte en un vigilante cuando una joven es amenazada por la mafia rusa.,54,54
55,A Star Is Born,2018,7.6,Un músico veterano ayuda a una joven cantante a alcanzar la fama mientras enfrenta sus propios demonios personales y profesionales.,55,55
56,Slumdog Millionaire,2008,8,"Un joven indio compite en un popular concurso de televisión, mientras recuerda su vida y las experiencias que lo llevaron hasta allí.",56,56
57,Black Swan,2010,8,"Una bailarina de ballet lucha por equilibrar su vida y su obsesión con el papel protagonista en ""El lago de los cisnes"".",57,57
58,The Pursuit of Happyness,2006,8,Un hombre lucha por mantener a su hijo mientras enfrenta una vida de pobreza y un trabajo precario en su búsqueda por convertirse en corredor de bolsa.,58,58
59,Corazón valiente,1995,8.3,"La historia de William Wallace, un héroe escocés que lidera una rebelión contra el dominio inglés en el siglo XIII.",59,59
60,Los otros,2001,7.6,Una madre que vive con sus dos hijos en una casa aislada empieza a descubrir que la casa está plagada de presencias extrañas.,60,60
61,El gran pez,2003,8,"Un hombre mayor relata las fantásticas historias de su vida a su hijo, que no sabe si creer en ellas.",61,61
62,El planeta de los simios,1968,8,Un astronauta llega a un planeta gobernado por simios inteligentes que esclavizan a los humanos.,62,62
63,La chica del dragón tatuado,2011,7.8,Una periodista y una hacker investigan la desaparición de una joven hace décadas mientras descubren secretos oscuros.,63,63
64,El diablo viste a la moda,2006,6.9,Una joven obtiene un trabajo en una revista de moda y debe lidiar con su exigente jefa mientras lucha por mantener su vida personal.,64,64
65,500 días con ella,2009,7.7,"La historia de una relación que empieza y termina contada desde diferentes perspectivas, centrándose en la experiencia del protagonista masculino.",65,65
66,El código Da Vinci,2006,6.6,Un profesor de simbología se ve envuelto en una conspiración que lo lleva a descubrir secretos históricos mientras es perseguido por un asesino.,66,66
67,Ángeles y demonios,2009,6.7,Un experto en simbología investiga una serie de asesinatos relacionados con los Illuminati y el Vaticano.,67,67
68,Inferno,2016,6.2,Un experto en simbología sufre de amnesia y se une a una doctora para detener una amenaza relacionada con una plaga mortal.,68,68
69,El conjuro,2013,7.5,"Basado en hechos reales, un par de investigadores paranormales ayudan a una familia aterrorizada por una entidad maligna en su casa.",69,69
70,Annabelle,2014,5.4,Una muñeca poseída por un espíritu demoníaco aterroriza a una joven pareja y su hija recién nacida.,70,70
71,IT (Eso),2017,7.3,Un grupo de niños en una pequeña ciudad se enfrenta a un ser maligno que toma la forma de un payaso.,71,71
72,Fragmentado,2016,7.3,Un hombre con múltiples personalidades rapta a tres jóvenes y deben luchar por sobrevivir mientras descubren la verdad detrás de su secuestrador.,72,72
73,Glass,2019,6.6,"En este thriller de superhéroes, tres individuos con habilidades extraordinarias se enfrentan en una confrontación de proporciones épicas.",73,73
74,Señales,2002,6.8,Un ex sacerdote y su familia descubren señales misteriosas en los cultivos que podrían ser el preludio de una invasión alienígena.,74,74
75,Coraline y la puerta secreta,2009,7.7,"Una niña encuentra una puerta secreta que la lleva a un mundo paralelo, donde debe salvar a sus padres y su vida en el proceso.",75,75
76,John Wick: Otro día para matar,2014,7.4,Un ex asesino profesional se ve forzado a volver a la acción cuando una deuda del pasado lo obliga a asesinar a su antiguo amigo.,76,76
77,John Wick: Pacto de sangre,2017,7.5,John Wick debe luchar para sobrevivir después de romper una de las reglas sagradas de la sociedad de asesinos.,77,77
